transect_ID,subarea,organic,year,sparse_vegetation,broadleaved_woodland,shrubland,grassland,vineyards,X,Y,alternate_management,no_of_target_species,functional_insectivores_species,seed_eater_species,grape_eaters_species,abundance_insectivores,abundance_seed_eaters,abundance_grape_eaters
1,S,1,2017,0,1.3447657254,0,0.6723828627,45.7672368737,517497.2,4972228.9,0,13,6,3,2,6,6,6
2,N,0,2017,0,13.8518372296,13.2991173402,0,46.0562307888,514759.7,4980602.2,0,19,6,6,4,11,11,12
4,E,0,2017,0,0.2087447109,4.101551481,0,88.0225669958,526134.3,4987476,0,15,4,4,4,5,7,12
5,E,0,2017,4.7,0,1.186557993,0,79.489114743,524170.2,4981433.8,0,11,2,2,5,3,5,8
6,E,0,2017,10.73,0.0846477244,0,6.843497644,60.7578493159169,524238,4982529.6,0,16,5,3,5,6,7,12
8,W,1,2017,0,37.3948868446,7.10536712,0,32.8968903437,500565.5,4972394,0,21,10,3,4,20,6,6
9,N,0,2017,4.5940728006,0,43.2011950226,0,35.6139287778,517775.2,4979587,0,23,8,5,4,20,9,10
10,E,0,2017,0,11.4202460004,0.0168109607,0,85.2035527164,524347.6,4983974.1,0,13,2,3,4,5,7,15
11,E,0,2017,0,0,0,8.821006146,85.5603842313,526705.6,4982601.3,0,9,1,3,3,2,4,7
12,E,0,2017,0,0,0,0,97.3574487266,525342.2,4982671.4,0,9,3,1,2,4,3,4
13,E,0,2017,0,0,0,15.0843121458,71.5147917285,526257,4983407.4,0,15,5,5,2,7,7,9
14,E,0,2017,0,0,0,0,82.6252217248,527480.7,4983330.9,0,13,3,3,3,6,16,7
15,E,1,2017,0,29.1485193172,2.8302817596,9.4323931949,45.9272414619,526310.5,4986438.6,0,14,5,3,3,9,4,11
16,E,1,2017,0,0,0,0,58.001578888,526249.4,4986727,0,13,5,0,5,10,0,53
17,N,0,2017,0,2.5307557118,0,0,79.7750439367,517337.4,4979891.6,0,23,6,5,4,11,5,14
18,N,0,2017,0,0,0,0,72.3383896659,517678.1,4980101.6,0,12,3,3,3,3,8,11
19,S,0,2017,0,20.9571675254,0,0,0,517835.3,4971412.4,0,20,9,3,3,14,6,8
20,S,1,2017,0,6.0019143066,22.8365519959,40.5101064129,0,518263.1,4972666.8,0,23,8,7,3,13,23,112
21,E,0,2017,0,0,0,0,66.0554076703,523793.9,4984073.3,0,19,10,2,4,16,2,13
22,E,0,2017,0,0,5.7252446625,0,73.1533970725,524677.5,4984306.6,0,15,5,2,3,8,3,56
27,W,0,2017,0,0.0903814379,2.12765957446808,31.9927314253589,7.2192173532,505244,4964565.5,0,19,4,7,5,8,15,50
28,W,0,2017,0,0,3.87323943661972,6.3032750112,14.9338268282,505977.7,4964712.1,0,16,6,4,1,11,8,4
29,W,0,2017,0,3.1112671113,0,3.5493155493,6.2618462618,505684,4965429.7,0,16,5,5,3,6,6,12
30,N,0,2017,1.650192898,0,18.1464898201,15.8824026358,6.9330629946,515176.8,4978379.8,0,17,7,3,3,20,5,3
31,N,0,2017,1.4065686757,0,7.1397425979,9.8741121035,40.6048245306,514961.4,4978673.5,0,19,6,5,2,11,12,4
32,N,0,2017,0,0,12.0124013529,25.2874859076,10.2536640361,514641.1,4978793.3,0,14,6,3,1,10,6,1
38,N,0,2017,0.4171952079,3.3601127555,10.407329105,3.6532769556,40.2480620155,515616.6,4978198.5,0,17,7,3,3,8,5,5
39,N,0,2017,0,0,0,0,29.8252754193,518349.5,4983054.8,0,9,3,1,2,5,2,6
40,N,0,2017,0,0,0,0,89.0189677492,516898.9,4982973,0,16,4,4,4,6,13,9
41,N,0,2017,0,0,0,0,41.9410696437,517384.2,4982693.8,0,20,7,4,5,13,9,32
42,N,0,2017,0,0,1.2046497228,0,82.5740381097,518362.6,4982569.1,0,10,3,2,2,3,8,4
43,N,0,2017,12.7758584221,0,8.810547839,71.2402171614,0,518021.7,4979034.9,0,10,4,1,2,10,7,2
45,N,0,2017,0,14.2283581038,33.9959146299,0,39.6196379517,515991.5,4977433.9,0,20,10,3,3,19,4,6
46,N,0,2017,0,2.1274794729,0,17,72.5995316159,515539.5,4975575.7,0,19,8,6,4,19,14,7
47,N,0,2017,0,0,29.1567787685,11.1942708699,34.4253317419,515961,4975707.2,0,25,15,4,4,24,10,6
48,N,0,2017,3.7318046423,1.1746192323,52.0429382341,11.1448322374,0.3428314506,516291.4,4976052.7,0,18,10,3,1,24,6,1
51,W,0,2017,4.3545002605,0,27.4113819764,12.843804132,0,506076,4970329.8,0,20,7,4,3,14,9,3
52,W,0,2017,0.5194369973,0.3183646113,31.6968275246,12.9021447721,0,505594.2,4970219.4,0,23,9,6,3,21,8,11
53,W,0,2017,16.0575905145,0,11.6479638648,0,0,505195.4,4969969,0,16,5,3,3,11,10,4
62,N,0,2017,2.8826897583,13.6236707754,42.3772318281,0,37.0067413195,517380.3,4979578.5,0,19,7,4,4,12,8,7
63,E,1,2017,0,1.2156857227,0,9.9337282436,45.4812792841,526886.4,4986251.1,0,11,4,2,3,10,3,11
64,W,1,2017,0,38.7016512101,11.15132323,3.1101560733,18.4347432708,500912.8,4972193.3,0,16,8,2,4,14,2,17
66,W,1,2017,0,10.4321489666,0,0,47.9878852464,500423.9,4973003.6,0,21,9,2,5,18,2,20
67,W,1,2017,0,24.5297109924,0,3.015486071,20.1502106613,500787.8,4972621.3,0,22,8,4,5,16,5,18
83,N,0,2017,0,3.362480463,0,4.2749123474,66.9792590715,515109.4,4984208.2,0,20,9,1,5,18,2,310
1,S,1,2018,0,1.3447657254,0,0.6723828627,45.7672368737,517497.2,4972228.9,1,26,8,5,4,9,7,10
2,N,0,2018,0,13.8518372296,13.2991173402,0,52.3942589578141,514759.7,4980602.2,0,14,4,5,5,7,10,11
4,E,0,2018,0,0.2087447109,4.101551481,0,88.0225669958,526134.3,4987476,0,10,3,1,3,3,4,29
5,E,0,2018,0,0,1.186557993,0,84.189114743,524170.2,4981433.8,0,16,5,5,5,10,17,15
6,E,0,2018,0,0.0846477244,0,6.843497644,71.4878493159169,524238,4982529.6,1,14,5,2,4,7,5,19
8,W,1,2018,0,37.3948868446,7.10536712,0,32.8968903437,500565.5,4972394,1,17,9,2,3,16,4,13
9,N,0,2018,4.5940728006,0,43.2011950226,0,35.6139287778,517775.2,4979587,1,23,8,5,4,24,10,18
10,E,0,2018,0,11.4202460004,0.0168109607,0,85.2035527164,524347.6,4983974.1,1,13,4,1,4,6,3,18
11,E,0,2018,0,0,0,13.541006146,80.8403842313,526705.6,4982601.3,0,9,2,2,3,3,8,13
12,E,0,2018,0,0,0,0,97.3574487266,525342.2,4982671.4,1,13,4,1,3,5,5,13
13,E,0,2018,0,0,0,24.9143121458,61.6847917285,526257,4983407.4,0,15,6,3,2,8,3,4
14,E,0,2018,0,0,0,0,82.6252217248,527480.7,4983330.9,1,11,4,3,2,6,10,21
15,E,1,2018,0,29.1485193172,2.8302817596,9.4323931949,45.9272414619,526310.5,4986438.6,0,18,8,2,4,15,2,18
16,E,1,2018,0,0,0,0,58.001578888,526249.4,4986727,1,17,6,5,6,11,10,15
17,N,0,2018,0,2.5307557118,0,2.4,77.3750439367,517337.4,4979891.6,1,17,8,3,3,10,7,10
18,N,0,2018,0,0,0,0,72.3383896659,517678.1,4980101.6,1,16,5,6,4,6,18,15
19,S,0,2018,0,20.9571675254,0,0,0,517835.3,4971412.4,0,14,8,2,2,12,2,5
20,S,1,2018,0,6.0019143066,22.8365519959,40.5101064129,0,518263.1,4972666.8,0,24,8,6,5,12,23,23
21,E,0,2018,12.112676056338,0,0,0,53.942731614,502685.5,4979170.9,1,18,8,2,4,11,2,13
22,E,0,2018,0,0,5.7252446625,0,73.1533970725,524677.5,4984306.6,0,10,4,2,4,7,2,9
27,W,0,2018,0,0.0903814379,2.12765957446808,31.9927314253589,7.2192173532,505244,4964565.5,0,12,0,5,3,0,8,7
28,W,0,2018,0,0,3.87323943661972,6.3032750112,14.9338268282,505977.7,4964712.1,0,14,3,2,3,6,5,7
29,W,0,2018,0,3.1112671113,0,3.5493155493,6.2618462618,505684,4965429.7,0,11,2,2,2,2,3,3
30,N,0,2018,1.650192898,0,18.1464898201,15.8824026358,6.9330629946,515176.8,4978379.8,0,13,5,1,2,11,4,5
31,N,0,2018,1.4065686757,0,7.1397425979,9.8741121035,40.6048245306,514961.4,4978673.5,0,13,4,3,2,8,6,3
32,N,0,2018,0,0,12.0124013529,25.2874859076,10.2536640361,514641.1,4978793.3,0,16,6,3,2,6,6,5
38,N,0,2018,0.4171952079,3.3601127555,10.407329105,3.6532769556,40.2480620155,515616.6,4978198.5,0,18,7,4,2,12,4,25
